"student_id","name","email","age","city","registration_date","acquisition_source","plan_type","total_enrollments"
"STU00248","Ratna Kurniawan","ratna.kurniawan@yahoo.com",25,"Jakarta","2022-04-04","TikTok","basic",6
"STU02441","Citra Hidayat","citra.hidayat914@outlook.com",45,"Bandung","2023-09-12","TikTok","free",3
"STU00657","Fitri Kurniawan","fitri.kurniawan@gmail.com",37,"Surabaya","2024-07-11","Organic","free",4
"STU00707","Mawar Kurniawan","mawar.kurniawan@yahoo.com",22,"Jakarta","2024-12-04","Instagram","free",3
"STU02496","Surya Rahmawati","surya.rahmawati@gmail2428@gmail.com",25,"Bekasi","2023-09-12","Google","pro",8
"STU02600","Yoga Saputra","yoga.saputra861@hotmail.com",45,"Jakarta","2023-09-05","Google","free",0
"STU02163","Budi Pramudita","budi.pramudita424@gmail.com",21,"Jakarta","2023-06-30","TikTok","free",3
"STU00684","Tia Pratama","tia.pratama@outlook.com",35,"Jakarta","2024-10-02","Organic","free",3
"STU01396","Hadi Setyowati","hadi.setyowati@yahoo.com",26,"Malang","2022-03-19","YouTube","free",7
"STU00859","Hadi Kurniawan","hadi.kurniawan621@gmail.com",35,"Medan","2022-05-02","YouTube","basic",0
"STU00699","Fajar Anggara","fajar.anggara@gmail.com",18,"Jakarta","2022-03-08","Google","pro",0
"STU00128","Olivia Wibowo","olivia.wibowo@yahoo.com",23,"Yogyakarta","2024-02-07","Instagram","basic",0
"STU00849","Gilang Kurniawan","gilang.kurniawan@hotmail7158@gmail.com",40,"Jakarta","2022-10-01","YouTube","free",2
"STU00746","Krisna Lestari","krisna.lestari983@hotmail.com",25,"Malang","2023-07-28","Organic","free",3
"STU02389","Lestari Rahmawati","lestari.rahmawati@hotmail.com",30,"Jakarta","2025-01-25","Google","free",3
"STU02837","Adi Setyowati","adi.setyowati@gmail.com",43,"Jakarta","2023-04-27","Instagram","free",0
"STU02868","Olivia Kusuma","olivia.kusuma@yahoo.com",19,"Bandung","2022-03-29","Instagram","free",3
"STU01182","Rizky Nugroho","rizky.nugroho@gmail.com",25,"Jakarta","2022-05-16","YouTube","free",1
"STU02008","Umi Setiawan","umi.setiawan868@yahoo3911@gmail.com",20,"Surabaya","2022-03-13","YouTube","free",1
"STU00935","Ratna Permadi","ratna.permadi823@hotmail.com",31,"Yogyakarta","2023-12-02","YouTube","free",4
"STU01842","Rizky Wijaya","rizky.wijaya469@gmail.com",25,"Jakarta","2023-12-11","YouTube","free",2
"STU01921","Fitri Anggara","fitri.anggara@gmail2038@gmail.com",34,"Semarang","2024-08-24","Referral","basic",6
"STU00716","Maya Wibowo","maya.wibowo154@outlook.com",37,"Yogyakarta","2022-09-02","YouTube","free",3
"STU00050","Yuni Saputra","yuni.saputra514@gmail.com",43,"Jakarta","2023-07-21","Instagram","free",4
"STU01664","Ratna Anggara","ratna.anggara@gmail.com",42,"Tangerang","2023-05-10","Instagram","free",3
"STU01398","Ayu Susanto","ayu.susanto@yahoo.com",21,"Bandung","2023-03-20","Organic","free",6
"STU01030","Naufal Anggraini","naufal.anggraini@yahoo.com",40,"Medan","2022-01-02","Instagram","basic",0
"STU00666","Wahyu Hidayat","wahyu.hidayat149@hotmail.com",31,"Surabaya","2023-07-17","Instagram","basic",6
"STU00693","Adi Iskandar","adi.iskandar@gmail.com",28,"Jakarta","2023-05-27","YouTube","free",1
"STU02793","Surya Saputra","surya.saputra@yahoo.com",36,"Yogyakarta","2023-12-23","YouTube","pro",7
"STU01537","Citra Iskandar","citra.iskandar322@gmail.com",21,"Jakarta","2022-09-12","YouTube","free",0
"STU01054","Wahyu Wijaya","wahyu.wijaya151@outlook.com",22,"Jakarta","2024-03-11","Instagram","basic",5
"STU00314","Gilang Hapsari","gilang.hapsari841@gmail.com",22,"Medan","2022-08-04","Instagram","free",6
"STU02694","Reza Kurniawan","reza.kurniawan@outlook.com",40,"Makassar","2024-01-23","Instagram","free",2
"STU02573","Rahmat Hidayat","rahmat.hidayat230@gmail.com",21,"Surabaya","2024-03-17","YouTube","free",3
"STU00503","Umi Lestari","umi.lestari@gmail.com",25,"Semarang","2025-01-16","Instagram","basic",2
"STU02930","Fitri Ramadhan","fitri.ramadhan@gmail.com",21,"Bekasi","2024-11-20","YouTube","free",0
"STU00812","Vina Hidayat","vina.hidayat@hotmail.com",22,"Jakarta","2022-05-25","YouTube","free",0
"STU02279","Rahmat Kusuma","rahmat.kusuma386@outlook3733@gmail.com",39,"Yogyakarta","2022-08-22","YouTube","basic",3
"STU01621","Iqbal Setiawan","iqbal.setiawan140@outlook.com",45,"Yogyakarta","2024-08-20","Instagram","free",1
"STU00646","Nadia Susanto","nadia.susanto@yahoo.com",30,"Jakarta","2023-11-01","Instagram","basic",6
"STU02962","Putri Kusuma","putri.kusuma@yahoo.com",28,"Surabaya","2024-07-01","Instagram","free",0
"STU01882","Umi Setiawan","umi.setiawan908@yahoo.com",35,"Jakarta","2022-01-04","Instagram","free",3
"STU02463","Reno Mahendra","reno.mahendra659@outlook.com",41,"Bandung","2025-01-28","YouTube","free",0
"STU00006","Winda Mahendra","winda.mahendra697@hotmail.com",33,"Palembang","2024-01-11","Instagram","free",10
"STU02731","Maya Ramadhan","maya.ramadhan@yahoo.com",36,"Denpasar","2024-11-08","TikTok","free",4
"STU02244","Kirana Iskandar","kirana.iskandar705@hotmail.com",23,"Bandung","2023-02-10","Instagram","free",5
"STU02200","Citra Damayanti","citra.damayanti63@yahoo.com",23,"Jakarta","2022-08-05","Google","free",2
"STU02122","Dewi Setyowati","dewi.setyowati@yahoo4721@gmail.com",45,"Jakarta","2023-03-10","YouTube","free",4
"STU01864","Ayu Putra","ayu.putra110@yahoo.com",38,"Denpasar","2025-01-07","Instagram","free",5
"STU01640","Zahra Hakim","zahra.hakim@outlook.com",23,"Surabaya","2023-10-14","Instagram","free",10
"STU01547","Citra Mahendra","citra.mahendra@hotmail.com",42,"Surabaya","2024-06-26","Organic","free",0
"STU01955","Sinta Permadi","sinta.permadi@hotmail.com",36,"Jakarta","2022-05-14","Organic","pro",3
"STU02921","Hana Rahmawati","hana.rahmawati@yahoo.com",28,"Bandung","2022-07-10","Referral","free",0
"STU02940","Luthfi Hapsari","luthfi.hapsari288@yahoo.com",27,"Palembang","2022-01-05","YouTube","basic",6
"STU01109","Eko Nugroho","eko.nugroho481@yahoo.com",45,"Palembang","2022-09-28","YouTube","pro",0
"STU01823","Naufal Hakim","naufal.hakim@outlook.com",31,"Surabaya","2024-03-11","Instagram","pro",3
"STU02827","Vina Lestari","vina.lestari188@outlook.com",21,"Palembang","2022-04-15","Google","basic",3
"STU01336","Nita Permadi","nita.permadi@hotmail.com",20,"Surabaya","2022-04-23","Instagram","free",3
"STU02292","Citra Maulana","citra.maulana@hotmail.com",18,"Bandung","2022-06-16","Instagram","free",3
"STU01652","Winda Wijaya","winda.wijaya881@hotmail.com",42,"Jakarta","2022-04-14","Instagram","basic",7
"STU02798","Krisna Nugroho","krisna.nugroho749@yahoo5668@gmail.com",38,"Semarang","2022-01-28","YouTube","free",1
"STU02269","Dito Iskandar","dito.iskandar@yahoo.com",33,"Denpasar","2022-09-03","Google","free",6
"STU01947","Intan Hakim","intan.hakim200@gmail.com",34,"Surabaya","2023-03-22","Instagram","free",3
"STU02546","Andi Setiawan","andi.setiawan@hotmail.com",45,"Medan","2023-11-18","Referral","free",0
"STU01636","Dewi Nugroho","dewi.nugroho575@hotmail.com",25,"Jakarta","2023-01-11","Google","free",2
"STU00667","Gita Anggraini","gita.anggraini@hotmail.com",19,"Jakarta","2022-06-06","Google","pro",4
"STU01239","Satria Iskandar","satria.iskandar438@outlook.com",29,"Palembang","2024-07-15","Instagram","free",0
"STU02871","Winda Hapsari","winda.hapsari670@outlook.com",21,"Denpasar","2023-01-05","Google","free",11
"STU02800","Surya Pertiwi","surya.pertiwi@outlook2545@gmail.com",23,"Semarang","2022-11-28","Google","pro",6
"STU00566","Kirana Putra","kirana.putra@hotmail.com",45,"Makassar","2023-04-15","TikTok","basic",2
"STU01206","Sari Cahyani","sari.cahyani@yahoo.com",41,"Denpasar","2024-11-09","Instagram","free",6
"STU01295","Ayu Anggara","ayu.anggara@gmail274@gmail.com",23,"Palembang","2023-03-04","Referral","pro",7
"STU01738","Galih Setyowati","galih.setyowati@outlook.com",41,"Medan","2022-12-27","Instagram","free",2
"STU01154","Olivia Anggraini","olivia.anggraini@hotmail.com",43,"Bandung","2023-04-27","Referral","free",0
"STU02484","Andi Anggara","andi.anggara@yahoo.com",33,"Surabaya","2022-10-28","Instagram","free",0
"STU02053","Bayu Lestari","bayu.lestari@hotmail.com",41,"Bandung","2024-12-25","Instagram","free",2
"STU01258","Indah Lestari","indah.lestari868@outlook.com",18,"Medan","2022-03-09","Google","free",1
"STU02469","Fitri Yusuf","fitri.yusuf@gmail.com",31,"Surabaya","2022-11-09","Instagram","free",0
"STU00402","Dito Wijaya","dito.wijaya@gmail.com",25,"Jakarta","2022-08-24","Referral","pro",3
"STU01740","Dewi Hidayat","dewi.hidayat@yahoo.com",45,"Semarang","2022-02-21","TikTok","free",4
"STU00202","Bagus Saputra","bagus.saputra246@gmail.com",23,"Makassar","2022-04-28","Referral","free",1
"STU02408","Sinta Kusuma","sinta.kusuma822@hotmail.com",18,"Surabaya","2023-03-01","Google","basic",2
"STU00749","Panji Nugroho","panji.nugroho@yahoo.com",35,"Jakarta","2022-06-30","TikTok","free",6
"STU02529","Siti Setiawan","siti.setiawan@outlook.com",28,"Jakarta","2022-05-11","Google","free",1
"STU01243","Adi Nugroho","adi.nugroho744@yahoo.com",29,"Surabaya","2023-09-06","Google","free",3
"STU00760","Reza Rahmawati","reza.rahmawati@hotmail.com",34,"Jakarta","2024-06-04","TikTok","free",0
"STU02906","Dimas Permadi","dimas.permadi708@yahoo.com",31,"Makassar","2022-09-04","Referral","free",0
"STU01482","Galih Hakim","galih.hakim@outlook.com",32,"Semarang","2024-05-22","Referral","free",1
"STU01701","Bayu Pertiwi","bayu.pertiwi24@yahoo.com",37,"Bandung","2022-07-03","YouTube","free",5
"STU01792","Gita Saputra","gita.saputra651@outlook.com",22,"Makassar","2024-02-18","Instagram","free",2
"STU02766","Putri Iskandar","putri.iskandar785@outlook.com",26,"Bekasi","2023-03-03","Instagram","pro",3
"STU00476","Zahra Pertiwi","zahra.pertiwi@gmail.com",25,"Semarang","2024-10-07","Instagram","basic",11
"STU01450","Andi Hidayat","andi.hidayat@gmail.com",21,"Palembang","2022-08-19","TikTok","pro",0
"STU00407","Reza Maulana","reza.maulana@hotmail.com",41,"Jakarta","2023-09-18","YouTube","free",5
"STU00149","Putri Hapsari","putri.hapsari@yahoo.com",36,"Jakarta","2022-05-13","Google","basic",0
"STU02394","Luthfi Lestari","luthfi.lestari580@hotmail.com",27,"Bandung","2023-06-15","YouTube","basic",3
"STU00983","Indah Susanto","indah.susanto@gmail.com",38,"Denpasar","2023-08-03","YouTube","free",5
"STU00030","Eko Setiawan","eko.setiawan@gmail.com",29,"Jakarta","2022-01-21","YouTube","free",6
"STU02525","Panji Hapsari","panji.hapsari54@gmail.com",35,"Surabaya","2024-02-25","Instagram","free",8
"STU02456","Rizky Ramadhan","rizky.ramadhan@yahoo.com",28,"Yogyakarta","2024-12-02","Instagram","free",6
"STU02630","Adi Pertiwi","adi.pertiwi@yahoo.com",18,"Jakarta","2022-09-19","Google","free",1
"STU01460","Ferdi Lestari","ferdi.lestari@outlook.com",22,"Jakarta","2024-10-13","Instagram","basic",1
"STU00717","Galih Kusuma","galih.kusuma@yahoo3418@gmail.com",29,"Malang","2022-03-09","Referral","free",2
"STU02717","Wahyu Pramudita","wahyu.pramudita975@gmail.com",27,"Bandung","2023-06-07","Google","pro",3
"STU02018","Eka Maulana","eka.maulana@hotmail.com",24,"Surabaya","2022-04-13","Organic","basic",1
"STU00997","Intan Permadi","intan.permadi207@outlook.com",28,"Jakarta","2023-02-05","Instagram","free",5
"STU02068","Rahmat Wibowo","rahmat.wibowo953@yahoo.com",29,"Jakarta","2024-07-19","Organic","free",5
"STU01554","Yuni Kusuma","yuni.kusuma@hotmail.com",27,"Jakarta","2024-04-01","Referral","pro",2
"STU02886","Sari Pramudita","sari.pramudita@outlook.com",33,"Medan","2022-02-25","Google","free",7
"STU02701","Luthfi Putra","luthfi.putra506@hotmail.com",35,"Bandung","2022-01-13","Instagram","basic",3
"STU02349","Krisna Pertiwi","krisna.pertiwi@hotmail.com",19,"Bandung","2024-11-01","Instagram","free",4
"STU00462","Andi Damayanti","andi.damayanti@hotmail.com",42,"Jakarta","2024-02-06","YouTube","basic",6
"STU01198","Satria Maulana","satria.maulana@gmail.com",29,"Jakarta","2022-08-21","Referral","free",3
"STU02954","Rizky Damayanti","rizky.damayanti451@gmail.com",20,"Yogyakarta","2022-02-23","Referral","free",1
"STU00608","Satria Cahyani","satria.cahyani@yahoo.com",32,"Semarang","2024-01-10","YouTube","free",3
"STU00968","Umi Kurniawan","umi.kurniawan@outlook.com",40,"Bandung","2023-02-03","YouTube","pro",9
"STU00132","Surya Santoso","surya.santoso@gmail.com",18,"Jakarta","2022-05-06","Google","free",0
"STU00199","Dito Yusuf","dito.yusuf@hotmail.com",23,"Surabaya","2024-06-17","Google","pro",0
"STU02616","Yoga Damayanti","yoga.damayanti@outlook.com",21,"Jakarta","2023-04-01","Instagram","basic",0
"STU00574","Dimas Kurniawan","dimas.kurniawan@hotmail.com",30,"Bandung","2023-08-20","Organic","free",1
"STU00220","Putra Lestari","putra.lestari@gmail.com",31,"Jakarta","2024-09-28","YouTube","free",1
"STU02090","Indah Ramadhan","indah.ramadhan805@yahoo.com",18,"Bandung","2024-03-29","Google","pro",1
"STU02744","Iqbal Wulandari","iqbal.wulandari75@gmail.com",44,"Surabaya","2022-10-17","Instagram","free",5
"STU02943","Putra Ramadhan","putra.ramadhan981@hotmail.com",31,"Makassar","2023-06-06","Google","basic",3
"STU02288","Winda Hidayat","winda.hidayat484@hotmail.com",30,"Denpasar","2022-09-29","Instagram","pro",11
"STU02318","Mega Setiawan","mega.setiawan@yahoo.com",27,"Jakarta","2022-01-24","Referral","pro",3
"STU01732","Fajar Hapsari","fajar.hapsari@hotmail.com",44,"Yogyakarta","2022-08-27","TikTok","free",5
"STU00155","Hadi Lestari","hadi.lestari@yahoo.com",21,"Jakarta","2024-03-20","YouTube","free",2
"STU00688","Tia Ramadhan","tia.ramadhan@outlook.com",34,"Denpasar","2025-01-01","Instagram","basic",6
"STU00475","Aditya Mahendra","aditya.mahendra343@gmail.com",22,"Jakarta","2023-02-23","Google","free",4
"STU00836","Panji Cahyani","panji.cahyani@outlook.com",37,"Jakarta","2022-06-18","YouTube","basic",1
"STU00159","Putra Wibowo","putra.wibowo@hotmail.com",19,"Tangerang","2023-11-14","YouTube","free",11
"STU02915","Eko Hapsari","eko.hapsari713@hotmail.com",25,"Bekasi","2023-06-19","Organic","basic",8
"STU02877","Maya Iskandar","maya.iskandar110@yahoo.com",41,"Bandung","2024-04-02","Instagram","pro",0
"STU02091","Umi Wibowo","umi.wibowo@gmail.com",42,"Jakarta","2022-09-11","Instagram","free",3
"STU02634","Sinta Pramudita","sinta.pramudita@gmail.com",23,"Bandung","2022-06-24","Organic","free",3
"STU02256","Siti Wibowo","siti.wibowo@outlook.com",31,"Jakarta","2024-05-27","Google","free",0
"STU00773","Umi Mahendra","umi.mahendra@gmail.com",29,"Jakarta","2024-01-09","Organic","basic",0
"STU00015","Putri Hidayat","putri.hidayat@gmail.com",27,"Bekasi","2024-02-21","Instagram","basic",11
"STU01018","Ferdi Damayanti","ferdi.damayanti@outlook.com",29,"Surabaya","2022-07-01","YouTube","free",3
"STU02309","Ratna Kusuma","ratna.kusuma@yahoo.com",29,"Medan","2024-06-07","Instagram","free",3
"STU01233","Kirana Cahyani","kirana.cahyani698@hotmail.com",40,"Surabaya","2022-10-05","Organic","basic",2
"STU01529","Tia Wibowo","tia.wibowo100@hotmail5308@gmail.com",38,"Malang","2022-03-06","Referral","free",3
"STU00830","Nita Kusuma","nita.kusuma@hotmail.com",24,"Yogyakarta","2023-06-27","YouTube","free",2
"STU02748","Ratna Yusuf","ratna.yusuf@hotmail6763@gmail.com",27,"Bandung","2022-03-25","YouTube","free",3
"STU02110","Ayu Mahendra","ayu.mahendra29@gmail.com",42,"Yogyakarta","2024-08-20","Google","basic",3
"STU00343","Reno Wulandari","reno.wulandari@gmail.com",18,"Jakarta","2022-11-11","Google","free",2
"STU00236","Maya Rahmawati","maya.rahmawati599@hotmail.com",20,"Jakarta","2022-08-06","Instagram","free",5
"STU00158","Mega Maulana","mega.maulana@gmail.com",26,"Bandung","2024-09-06","YouTube","basic",5
"STU01703","Winda Yusuf","winda.yusuf968@yahoo.com",36,"Jakarta","2024-12-23","TikTok","free",3
"STU00008","Siti Permadi","siti.permadi84@gmail.com",41,"Surabaya","2023-04-08","Referral","basic",2
"STU00526","Permata Iskandar","permata.iskandar@outlook.com",43,"Bandung","2023-08-11","YouTube","free",3
"STU02388","Citra Permadi","citra.permadi@yahoo.com",24,"Jakarta","2023-10-23","Referral","basic",3
"STU01351","Kirana Iskandar","kirana.iskandar@hotmail.com",21,"Bogor","2023-01-25","TikTok","basic",3
"STU00401","Adi Kurniawan","adi.kurniawan@hotmail.com",34,"Surabaya","2024-06-06","Instagram","free",9
"STU00431","Permata Pramudita","permata.pramudita593@yahoo.com",39,"Jakarta","2023-02-13","YouTube","free",3
"STU00197","Hana Iskandar","hana.iskandar10@yahoo.com",39,"Palembang","2022-09-16","TikTok","basic",5
"STU01562","Maya Mahendra","maya.mahendra603@hotmail.com",45,"Surabaya","2024-12-26","YouTube","free",3
"STU01085","Reza Saputra","reza.saputra@outlook.com",43,"Jakarta","2024-09-22","Instagram","free",3
"STU00829","Aditya Setyowati","aditya.setyowati937@gmail.com",38,"Semarang","2024-04-11","YouTube","free",9
"STU01271","Bagus Kusuma","bagus.kusuma213@yahoo.com",31,"Palembang","2025-02-17","Google","free",1
"STU02123","Adi Hakim","adi.hakim876@outlook8347@gmail.com",20,"Jakarta","2023-03-28","Organic","free",2
"STU01913","Hendra Hakim","hendra.hakim@outlook.com",34,"Jakarta","2022-08-02","TikTok","free",2
"STU00322","Lestari Rahmawati","lestari.rahmawati146@gmail.com",26,"Medan","2024-04-09","Referral","basic",2
"STU01831","Sari Wijaya","sari.wijaya926@yahoo.com",25,"Jakarta","2025-02-12","Instagram","pro",0
"STU02669","Gilang Santoso","gilang.santoso395@hotmail.com",32,"Bandung","2024-12-30","Instagram","free",1
"STU01417","Nadia Cahyani","nadia.cahyani376@yahoo.com",29,"Yogyakarta","2023-08-13","Referral","free",2
"STU01335","Naufal Setiawan","naufal.setiawan@yahoo.com",18,"Surabaya","2022-01-14","Referral","free",1
"STU01753","Bayu Setiawan","bayu.setiawan710@hotmail.com",25,"Jakarta","2023-01-25","YouTube","free",3
"STU00405","Fajar Cahyani","fajar.cahyani@outlook.com",33,"Bekasi","2023-02-26","TikTok","free",4
"STU00090","Gilang Setiawan","gilang.setiawan525@gmail.com",44,"Jakarta","2023-11-01","Instagram","free",5
"STU00087","Dewi Yusuf","dewi.yusuf791@hotmail.com",42,"Medan","2023-02-18","Google","free",11
"STU02362","Vina Hakim","vina.hakim398@hotmail893@gmail.com",28,"Tangerang","2022-04-17","YouTube","free",4
